Date,Price,Open,High,Low,Vol.,Change %
10-01-2024,965.2,976.9,984.5,958.9,10.09M,-0.97%
11-01-2024,843.45,847.95,847.95,840,2.90M,1.13%
15-01-2024,809.95,817.48,817.88,807.81,4.84M,-0.49%
16-01-2024,816.33,809.95,824.46,809.95,10.16M,0.79%
17-01-2024,803.07,808.51,811.2,801.53,7.90M,-1.62%
18-01-2024,816.53,804.52,820.42,794.55,11.50M,1.68%
19-01-2024,821.02,821.32,823.46,816.98,5.71M,0.55%
20-01-2024,818.9,826,827,817.05,2.84M,-0.26%
23-01-2024,797.99,822.36,825.05,793.85,9.44M,-2.55%
24-01-2024,808.41,799.93,809.5,786.08,7.22M,1.31%
25-01-2024,809.35,811.5,811.65,797.84,10.11M,0.12%
29-01-2024,838.41,809.35,841.2,808.55,12.82M,3.59%
30-01-2024,856.21,840.41,883.22,840.26,19.73M,2.12%
31-01-2024,881.48,862.54,893.74,862.54,24.56M,2.95%
01-02-2024,781.99,798.04,801.53,776.6,13.79M,-0.78%
02-02-2024,876.05,883.28,892.99,874.15,13.00M,0.03%
03-02-2024,988.35,985.15,992.6,981.6,1.78M,1.43%
04-02-2024,"1,001.56",995.93,"1,004.90",990.34,8.00M,1.25%
05-02-2024,"1,024.64","1,016.86","1,026.83","1,008.44",12.70M,1.97%
07-02-2024,981.3,"1,004.05","1,005.00",979.1,12.28M,-2.07%
08-02-2024,"1,096.65","1,120.00","1,120.00","1,090.05",21.97M,-4.17%
09-02-2024,"1,092.65","1,105.00","1,105.00","1,087.35",8.12M,-1.68%
13-02-2024,904.11,908.8,916.27,891.25,8.57M,-0.52%
14-02-2024,915.47,897.23,917.12,891.6,6.57M,1.26%
15-02-2024,917.72,920.86,924.15,913.53,6.43M,0.25%
16-02-2024,935.71,922.16,945.88,921.26,12.83M,1.96%
19-02-2024,929.73,940.05,940.05,928.19,4.63M,-0.64%
20-02-2024,923.5,931.58,931.78,917.57,4.73M,-0.67%
21-02-2024,918.22,923.5,934.32,913.68,6.01M,-0.57%
22-02-2024,929.43,921.81,930.98,911.79,6.44M,1.22%
23-02-2024,934.52,930.23,936.91,926.54,7.05M,0.55%
26-02-2024,934.07,934.22,942.09,927.84,5.60M,-0.05%
27-02-2024,959.74,933.87,962.03,932.62,12.81M,2.75%
28-02-2024,955.1,963.18,973,947.38,15.22M,-0.48%
29-02-2024,947.28,956.05,956.3,940,10.35M,-0.82%
01-03-2024,779.05,783.63,787.57,773.86,8.56M,-0.38%
04-03-2024,"1,006.05","1,000.91","1,011.33",989.5,8.04M,0.45%
05-03-2024,"1,010.28","1,034.81","1,037.00",992.94,11.87M,-1.40%
06-03-2024,947.53,960.04,960.04,931.13,12.31M,2.97%
07-03-2024,975.65,984.95,987.35,973.5,7.35M,-0.58%
09-03-2024,"1,085.10","1,097.60","1,100.00","1,082.20",5.09M,-0.69%
